ciarovy_kod,vzdialenost,priemer
,303.83,404.4064
,304.83,404.4704
,305.83,404.4607
,306.83,404.3927
,307.83,404.3372
,308.83,404.3490
,309.83,404.4117
,310.83,404.4472
,311.83,404.4148
,312.83,404.3337
,313.83,404.3061
,314.83,404.3293
,315.83,404.4003
,316.83,404.4014
,317.83,404.3668
,318.83,404.2892
,319.83,404.2796
,320.83,404.3177
,321.83,404.3848
,322.83,404.3773
,323.83,404.3094
,324.83,404.2650
,325.83,404.2815
,326.83,404.3538
,327.83,404.3884
,328.83,404.3637
,329.83,404.2908
,330.83,404.2860
,331.83,404.3200
,332.83,404.4004
,333.83,404.4050
,334.83,404.3558
,335.83,404.3070
,336.83,404.3244
,337.83,404.3846
,338.83,404.4341
,339.83,404.4275
,340.83,404.3798
,341.83,404.3531
,342.83,404.3705
,343.83,404.4440
,344.83,404.4814
,345.83,404.4692
,346.83,404.4091
,347.83,404.4036
,348.83,404.4520
,349.83,404.5393
,350.83,404.5458
,351.83,404.4752
,352.83,404.4250
,353.83,404.4460
,354.83,404.5202
,355.83,404.5607
,356.83,404.5367
,357.83,404.4709
,358.83,404.4582
,359.83,404.5101
,360.83,404.5862
,361.83,404.5880
,362.83,404.5232
,363.83,404.4741
,364.83,404.4748
,365.83,404.5344
,366.83,404.6090
,367.83,404.5951
,368.83,404.5114
,369.83,404.4666
,370.83,404.4885
,371.83,404.5585
,372.83,404.5809
,373.83,404.5417
,374.83,404.4556
,375.83,404.4310
,376.83,404.4623
,377.83,404.5277
,378.83,404.5193
,379.83,404.4466
,380.83,404.3827
,381.83,404.3858
,382.83,404.4417
,383.83,404.4792
,384.83,404.4494
,385.83,404.3676
,386.83,404.3410
,387.83,404.3607
,388.83,404.4312
,389.83,404.4469
,390.83,404.4052
,391.83,404.3225
,392.83,404.3124
,393.83,404.3530
,394.83,404.4212
,395.83,404.4061
,396.83,404.3340
,397.83,404.2951
,398.83,404.3204
,399.83,404.3922
,400.83,404.4208
,401.83,404.3909
,402.83,404.3160
,403.83,404.3078
,404.83,404.3468
,405.83,404.4148
,406.83,404.4193
,407.83,404.3710
,408.83,404.3210
,409.83,404.3319
,410.83,404.3782
,411.83,404.4454
,412.83,404.4302
,413.83,404.3594
,414.83,404.3351
,415.83,404.3702
,416.83,404.4517
,417.83,404.4896
,418.83,404.4551
,419.83,404.3773
,420.83,404.3689
,421.83,404.4307
,422.83,404.5158
,423.83,404.5123
,424.83,404.4590
,425.83,404.4301
,426.83,404.4567
,427.83,404.5194
